2017Onwards,Date,English name,Power,Frequency,Vocalization type,X,Y
True,2/8/2018,Rose-crested Blue Pipit,-128.344775488,0.786562273,call,49,63
True,6/7/2017,Rose-crested Blue Pipit,-137.735178519,4.93101377,call,125,133
True,2/8/2018,Rose-crested Blue Pipit,-134.315702102,0.518518519,call,58,76
True,3/10/2018,Rose-crested Blue Pipit,-133.434303582,5.064096354,song,55,125
False,6/29/2008,Rose-crested Blue Pipit,-117.18353374,4.467174164,song,129,123
False,12/28/2016,Rose-crested Blue Pipit,-139.811828867,5.407886847,call,132,121
False,12/28/2016,Rose-crested Blue Pipit,-142.027728705,4.889001189,call,106,107
True,9/18/2017,Rose-crested Blue Pipit,-130.269831364,5.215528818,call,149,115
False,6/11/2000,Rose-crested Blue Pipit,-133.337618357,5.140318369,song,134,118
True,3/13/2017,Rose-crested Blue Pipit,-139.008149094,5.513396114,call,89,131
True,3/13/2017,Rose-crested Blue Pipit,-137.01669073,5.558728299,call,141,124
True,4/14/2017,Rose-crested Blue Pipit,-141.870736856,4.160158079,song,124,121
False,10/8/2016,Rose-crested Blue Pipit,-118.8101895,5.08990046,call,127,119
True,1/17/2017,Rose-crested Blue Pipit,-120.237686333,5.354669839,call,146,114
False,5/31/2015,Rose-crested Blue Pipit,-122.566523292,5.675240733,call,131,133
False,1/9/2016,Rose-crested Blue Pipit,-133.51456633,5.828479131,call,124,116
False,6/5/2015,Rose-crested Blue Pipit,-129.996608325,5.561405817,call,147,117
False,6/5/2015,Rose-crested Blue Pipit,-140.668469642,5.678020823,song,142,114
False,5/26/2015,Rose-crested Blue Pipit,-140.499745377,3.727675432,song,159,117
False,5/26/2015,Rose-crested Blue Pipit,-135.526138219,3.373723763,song,128,116
False,3/15/2015,Rose-crested Blue Pipit,-131.767535593,5.643832949,call,142,114
False,3/15/2015,Rose-crested Blue Pipit,-134.098791726,1.929487142,call,163,117
False,3/13/2014,Rose-crested Blue Pipit,-121.499469054,4.922680683,call,123,110
False,6/6/2013,Rose-crested Blue Pipit,-132.7193397,5.365122848,song,121,132
False,5/3/1993,Rose-crested Blue Pipit,-123.468827594,4.207807045,song,131,120
False,4/30/2012,Rose-crested Blue Pipit,-131.075302143,4.346205558,song,151,154
False,1/5/2014,Rose-crested Blue Pipit,-128.248650589,5.066157792,call,152,154
False,5/26/2013,Rose-crested Blue Pipit,-134.006329277,5.396709608,call,75,142
False,5/25/2013,Rose-crested Blue Pipit,-124.510783014,4.6307869,call,34,134
False,5/25/2013,Rose-crested Blue Pipit,-134.945204682,5.613850187,call,142,121
False,5/25/2013,Rose-crested Blue Pipit,-125.956367267,4.74667063,song,35,145
False,5/25/2013,Rose-crested Blue Pipit,-132.433420574,4.438508379,song,116,108
False,6/28/2008,Rose-crested Blue Pipit,-126.959622998,4.499800898,song,78,82
False,5/30/2009,Rose-crested Blue Pipit,-136.180587727,4.418639752,song,134,144
False,6/18/2004,Rose-crested Blue Pipit,-121.417243435,4.958654097,song,38,139
False,5/8/2000,Rose-crested Blue Pipit,-130.229504216,4.7796365,song,39,61
